#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
660	NM_001316940	chr19	-	9920942	9929779	9921571	9922393	3	9920942,9929220,9929507,	9922393,9929293,9929779,	0	FBXL12	cmpl	cmpl	0,-1,-1,
660	NM_001316939	chr19	-	9920942	9929779	9921571	9922393	4	9920942,9923906,9929220,9929429,	9922393,9923950,9929293,9929779,	0	FBXL12	cmpl	cmpl	0,-1,-1,-1,
660	NM_001316942	chr19	-	9920942	9929779	9921571	9922393	4	9920942,9925247,9929220,9929429,	9922393,9925345,9929293,9929779,	0	FBXL12	cmpl	cmpl	0,-1,-1,-1,
660	NM_001316941	chr19	-	9920942	9929779	9921571	9922393	2	9920942,9929403,	9922393,9929779,	0	FBXL12	cmpl	cmpl	0,-1,
660	NM_001048241	chr19	+	9938555	9940797	9939013	9940684	5	9938555,9939002,9939267,9939512,9940640,	9938660,9939069,9939351,9939550,9940797,	0	UBL5	cmpl	cmpl	-1,0,2,2,1,
660	NM_024292	chr19	+	9938567	9940797	9939013	9940684	5	9938567,9939002,9939267,9939512,9940640,	9938740,9939069,9939351,9939550,9940797,	0	UBL5	cmpl	cmpl	-1,0,2,2,1,
660	NM_006221	chr19	+	9945882	9960365	9946020	9959875	4	9945882,9949111,9958705,9959765,	9946078,9949324,9958816,9960365,	0	PIN1	cmpl	cmpl	0,1,1,1,
660	NR_038422	chr19	+	9945882	9960365	9960365	9960365	5	9945882,9947498,9949111,9958705,9959765,	9946078,9947551,9949324,9958816,9960365,	0	PIN1	unk	unk	-5
660	NR_038830	chr19	+	9945882	9960365	9960365	9960365	6	9945882,9947498,9949111,9958705,9959765,9960208,	9946078,9947551,9949324,9958816,9959877,9960365,	0	PIN1	unk	unk	-6
660	NM_017703	chr19	-	9920942	9929779	9921571	9929489	3	9920942,9929220,9929403,	9922393,9929293,9929779,	0	FBXL12	cmpl	cmpl	0,2,0,
660	NM_001077624	chr19	-	9868150	9879410	9868150	9875626	6	9868150,9870535,9872757,9873957,9875611,9878964,	9869440,9870618,9872844,9874084,9875711,9879410,	0	ZNF846	cmpl	cmpl	0,1,1,0,0,-1,
661	NM_001304348	chr19	-	9964393	9968844	9964861	9968516	5	9964393,9967482,9967938,9968390,9968772,	9965539,9967589,9968158,9968537,9968844,	0	OLFM2	cmpl	cmpl	0,1,0,0,-1,
661	NM_001304347	chr19	-	9964393	10024381	9964861	10024293	6	9964393,9967482,9967938,9968390,9971320,10024158,	9965539,9967589,9968158,9968537,9971470,10024381,	0	OLFM2	cmpl	cmpl	0,1,0,0,0,0,
661	NM_058164	chr19	-	9964393	10047228	9964861	10047042	6	9964393,9967482,9967938,9968390,9971320,10046979,	9965539,9967589,9968158,9968537,9971470,10047228,	0	OLFM2	cmpl	cmpl	0,1,0,0,0,0,
